published,title,url,views
2011-03-31,Data mining and Machine learning algorithms,http://videolectures.net/aibootcamp2011_balcazar_dmml,4778
2013-01-16,Quantum information and the Brain,http://videolectures.net/nips2012_aaronson_quantum_information,4753
2010-01-19,Understanding Visual Scenes,http://videolectures.net/nips09_torralba_uvs,4725
2007-08-29,Machine learning and finance,http://videolectures.net/mlss07_gyorfi_mlaf,4679
2011-03-31,Introduction to Machine Learning,http://videolectures.net/aibootcamp2011_quinn_iml,4662
2007-02-25,Link analysis with pajek,http://videolectures.net/acai05_kejzar_lasn,4568
2007-09-24,"EEG Coupling, Granger Causality and Multivariate Autoregressive Models",http://videolectures.net/mda07_schloegl_eegc,4566
2009-05-18,Lecture 1 - The Motivation & Applications of Machine Learning,http://videolectures.net/stanfordcs229f08_ng_lec01,4553
2007-02-25,Statistical Learning Theory,http://videolectures.net/mlss03_bousquet_slt,4482
2010-10-07,Boilerplate Detection Using Shallow Text Features,http://videolectures.net/wsdm2010_kohlschutter_bdu,4391
2009-08-26,Convolutional Deep Belief Networks for Scalable Unsupervised Learning of Hierarchical Representations,http://videolectures.net/icml09_lee_cdb,4379
2007-08-12,Text Mining and Link Analysis for Web and Semantic Web,http://videolectures.net/kdd07_grobelnik_tmala,4369
2012-08-22,Bayesian dynamic modelling,http://videolectures.net/isba2012_west_dynamic_modelling,4314
2007-11-29,Structure and Dynamics in Complex Networks,http://videolectures.net/eccs07_newman_sdc,4247
2008-10-10,Data Mining for Anomaly Detection,http://videolectures.net/ecmlpkdd08_lazarevic_dmfa,4200
2007-06-22,Bayesian models of human inductive learning,http://videolectures.net/icml07_tenenbaum_bmhi,4197
2007-08-14,Truth Discovery with Multiple Conflicting Information Providers on the Web,http://videolectures.net/kdd07_yin_tdwmci,4196
2010-01-19,Deep Learning in Natural Language Processing,http://videolectures.net/nips09_collobert_weston_dlnl,4192
2007-08-14,A Data Miner���s Story ��� Getting to Know the Grand Challenges,http://videolectures.net/kdd07_fayyad_dms,4170
2007-02-25,Latent Semantic Variable Models,http://videolectures.net/slsfs05_hofmann_lsvm,4103
2010-10-01, Large-scale Data Mining: MapReduce and Beyond,http://videolectures.net/kdd2010_papadimitriou_sun_yan_lsdm,4102
2010-07-12,Scikitlearn,http://videolectures.net/icml2010_varaquaux_scik,4049
2009-07-30,Matrix Completion via Convex Optimization: Theory and Algorithms,http://videolectures.net/mlss09us_candes_mccota,3865
2010-07-19,Detecting Text in Natural Scenes with Stroke Width Transform,http://videolectures.net/cvpr2010_epshtein_dtns,3856
2007-11-22,Dynamics of Real-world Networks,http://videolectures.net/thesis_leskovec_drn,3853
2008-09-26,The Future of Image Search,http://videolectures.net/kdd08_malik_fis,3845
2007-10-17,Text and web data mining,http://videolectures.net/ess07_grobelnik_twdmI,3794
2009-04-01,Computability And Incompleteness,http://videolectures.net/ssll09_martin_cai,3701
2007-11-15,POWERSET - Natural Language and the Semantic Web,http://videolectures.net/iswc07_pell_nlpsw,3678
2008-12-05,Sparse Geometric Super-Resolution ,http://videolectures.net/etvc08_mallat_sgsr,3646
2008-11-04,Content Based Image Retrieval (CBIR),http://videolectures.net/russir08_vassilieva_cbir,3623
2013-05-13,What is Machine Learning?,http://videolectures.net/mlss2012_lawrence_machine_learning,3575
2007-03-20,Data Mining Vs. Semantic Web,http://videolectures.net/solomon_milutinovic_dmv,3551
2013-02-04,Lecture 1: Object-Oriented Programming,http://videolectures.net/mit601s201_freeman_lec01,3523
2007-05-14,Python - jezik za nove ?ase,http://videolectures.net/rtk07_tori_p,3487
2007-07-05,"Other ML/DM software (R, Weka, Yale)",http://videolectures.net/bootcamp07_belanche_mldm,3483
2007-02-25,Which Supervised Learning Method Works Best for What? An Empirical Comparison of Learning Methods and Metrics,http://videolectures.net/solomon_caruana_wslmw,3480
2013-08-09,Learning Representations: A Challenge for Learning Theory,http://videolectures.net/colt2013_lecun_theory,3414
2008-12-20,Training a Binary Classifier with the Quantum Adiabatic Algorithm,http://videolectures.net/opt08_neven_tabcwt,3391
2011-02-03,Restricted Boltzmann Machines and Deep Belief Nets ,http://videolectures.net/mlss2010au_frean_deepbeliefnets,3381
2007-08-14,Practical Guide to Controlled Experiments on the Web: Listen to Your Customers not to the HiPPO ,http://videolectures.net/kdd07_kohavi_pctce,3333
2009-12-01,Compressive Sensing for Computer Vision: Hype vs Hope,http://videolectures.net/bmvc09_chellappa_cscv,3316
2008-07-24,Structured Prediction Problems in Natural Language Processing,http://videolectures.net/icml08_collins_spp,3306
2008-10-09,Should all Machine Learning be Bayesian? Should all Bayesian models be non-parametric?,http://videolectures.net/bark08_ghahramani_samlbb,3276
2009-09-14,Dynamics of Large Networks ,http://videolectures.net/kdd09_leskovec_dln,3266
2007-12-17,"MCMC, SMC,... What next ?",http://videolectures.net/acs07_moulines_mcm,3248
2013-01-14,ImageNet Classification with Deep Convolutional Neural Networks,http://videolectures.net/machine_krizhevsky_imagenet_classification,3237
2009-11-02,Computer Vision,http://videolectures.net/mlss09uk_blake_cv,3237
2010-06-15,Machine learning for cognitive science 1: What is machine learning?,http://videolectures.net/mlss2010_lawrence_mlfcs,3184
2007-02-25,Learning issues in image segmentation,http://videolectures.net/lmcv04_buhmann_liis,3170
2010-04-12,The Cyc Lexicon,http://videolectures.net/brownbag_coppock_tcl,3151
2007-02-25,Facial expression recognition and emotion recognition from speech,http://videolectures.net/mlss06tw_datcu_ferer,3142
2015-07-28,Deep Reinforcement Learning,http://videolectures.net/rldm2015_silver_reinforcement_learning,3072
2010-08-09,The strength of evidence versus the power of belief: Are we all Bayesians?,http://videolectures.net/icots2010_utts_awab,3056
2011-07-07,"""Why the Semantic Web will never work""",http://videolectures.net/eswc2011_hendler_work,3038
2008-09-26,Regularization Paths and Coordinate Descent,http://videolectures.net/kdd08_hastie_rpcd,2966
2009-04-01,Intelligent Agents,http://videolectures.net/ssll09_lloyd_inta,2953
2010-01-20,Deep Learning with Multiplicative Interactions,http://videolectures.net/nips09_hinton_dlmi,2949
2007-05-23,Data Mining and Knowledge Discovery,http://videolectures.net/mps07_lavrac_dmkd,2931
2009-04-01,Data Mining,http://videolectures.net/ssll09_kotagiri_dami,2902
2011-09-28,Playing with Cases: Rendering Expressive Music Performance with Case-Based  Reasoning,http://videolectures.net/aaai2011_mantaras_cases,2837
2007-07-09,"PANEL: Experiences in research, teaching, and applications of ML",http://videolectures.net/bootcamp07_panel_per,2817
2014-10-29,The Unreasonable Effectivness Of Deep Learning,http://videolectures.net/sahd2014_lecun_deep_learning,2808
2012-08-13,Large Scale Learning at Twitter,http://videolectures.net/eswc2012_kolcz_twitter,2790
2007-02-25,Feature extraction & content description I,http://videolectures.net/dmss06_sebe_fecd,2777
2012-07-10,The Problem of Modelling the Mathematical Mind,http://videolectures.net/turing100_penrose_mathematical_mind,2746
2007-02-25,On the Borders of Statistics and Computer Science,http://videolectures.net/mlss05us_bickel_bscs,2740
2007-12-03,"Feature selection, fundamentals and applications",http://videolectures.net/mmdss07_guyon_fsf,2736
2008-04-03,Introduction to Network Analysis,http://videolectures.net/akom08_grobelnik_ina,2730
2007-07-12,Machine Learning in Vision,http://videolectures.net/bootcamp07_triggs_mlv,2726
2008-12-05,Large-Scale Object Recognition Systems,http://videolectures.net/etvc08_schmid_lsors,2723
2007-11-06,Mathematical Modeling of Cell Signalling Pathways,http://videolectures.net/pim07_vera_mmc,2703
2010-01-19,Learning Deep Boltzmann Machines,http://videolectures.net/nipsworkshops09_salakhutdinov_ldbm,2701
2009-07-30,Learning Dictionaries for Image Analysis and Sensing,http://videolectures.net/mlss09us_sapiro_ldias,2695
2008-07-24,STAIR: The STanford Artificial Intelligence Robot project,http://videolectures.net/icml08_ng_stair,2695
2009-10-07,Learning Deep Hierarchies of Representations,http://videolectures.net/okt09_bengio_ldhr,2687
2008-01-29,Learning an Outlier-Robust Kalman Filter,http://videolectures.net/ecml07_ting_lor,2680
2007-02-25,Introduction to the Machine Learning over Text & Images - Autumn School by Eric Xing,http://videolectures.net/mlas06_xing_imlot,2599
2010-03-29,Probabilities and Language Models,http://videolectures.net/hltss2010_eisner_plm,2574
2008-07-30,Unsupervised Learning for Natural Language Processing,http://videolectures.net/uai08_klein_ul,2569
2007-11-26,Machine Learning for Intrusion Detection,http://videolectures.net/mmdss07_laskov_mlit,2540
2010-12-13,Formal Theory of Fun & Creativity,http://videolectures.net/ecmlpkdd2010_schmidhuber_ftf,2523
2008-12-05,Machine learning and kernel methods for computer vision,http://videolectures.net/etvc08_bach_mlakm,2470
2010-03-02,Lecture 3: Karel and Java,http://videolectures.net/stanfordcs106af07_sahami_lec03,2465
2008-11-25,Free Semantic Content: Using OpenCyc in Semantic Web Applications,http://videolectures.net/iswc08_witbrock_fsc,2420
2007-02-25,Semantic Web Usage Mining ��� Overview and Case Studies ,http://videolectures.net/solomon_berendt_twum,2420
2007-11-28,Diffusion and Cascading Behaviour in Networks,http://videolectures.net/mmdss07_leskovec_dcbn,2408
2007-12-29,Speeding Up Stochastic Gradient Descent,http://videolectures.net/eml07_bengio_ssg,2369
2008-11-04,Data Structures in IR (DSIR),http://videolectures.net/russir08_gubin_dsir,2357
2010-08-13,Learning with Probabilities,http://videolectures.net/mlss2010_lawrence_mlfcs2,2347
2011-01-13,"Robust PCA and Collaborative Filtering: Rejecting Outliers, Identifying Manipulators",http://videolectures.net/nipsworkshops2010_caramanis_rcf,2337
2009-01-15,Probabilistic Decision-Making Under Model Uncertainty,http://videolectures.net/cmulls08_pineau_pdm,2327
2007-07-27,Ten problems for the next 10 years,http://videolectures.net/icml07_domingos_tpf,2322
2008-02-05,Applications to Machine Vision,http://videolectures.net/epsrcws08_blake_amv,2299
2008-11-04,"Text Mining, Information and Fact Extraction (TMIFE)",http://videolectures.net/russir08_moens_tmife,2278
2007-02-25,Image Analysis,http://videolectures.net/mlas06_faloutsos_ia,2273
2007-02-25,Trainable visual models for object classification,http://videolectures.net/lmcv04_zisserman_tvmoc,2273
2010-10-01,Introduction to Graphical Models for Data Mining,http://videolectures.net/kdd2010_banerjee_igmdm,2267
2009-05-18,Lecture 14 - The Factor Analysis Model ,http://videolectures.net/stanfordcs229f08_ng_lec14,2247
2011-01-12,"High-dimensional Statistics: Prediction, Association and Causal Inference",http://videolectures.net/nips2010_buhlmann_hds,2234
2007-08-27,Learning Graph Matching,http://videolectures.net/mlg07_smola_lgm,2194
2012-10-09,Monocular SLAM and Real-Time Scene Perception,http://videolectures.net/bmvc2012_davison_scene_perception,2178
2011-10-12,Introduction to Statistics,http://videolectures.net/cernstudentsummerschool2010_cowan_statistics,2170
2009-12-11,"Nevrolingvisti?no programiranje, oziroma kaj nas sodobna znanost lahko nau?i o denarju in ljudeh",http://videolectures.net/nov09_leskovsek_nlp,2166
2010-10-01,The quantification of advertising and lessons from building a business based on large scale data mining,http://videolectures.net/kdd2010_feldman_qalbb,2164
2009-02-05,Advanced Topics in Programming Languages Series: Python Design Patterns,http://videolectures.net/youtube_martelli_python,2162
2007-11-22,Emergent Networks as Distributed Reputation System,http://videolectures.net/eccs07_hales_end,2153
2007-02-25,Text Visualisation Tutorial,http://videolectures.net/cov05_grobelnik_tvt,2151
2007-10-30,ML in Bioinformatics ,http://videolectures.net/bootcamp07_alche_bio,2143
2011-11-11,Automating Quantitative Narrative Analysis of News Data ,http://videolectures.net/wapa2011_sudhahar_quantitative,2130
2007-02-25,Machine Learning for Games,http://videolectures.net/mlss05au_graepel_mlg,2118
2008-11-24,Siemens ? Semantic Technologies for Advanced Medical Image and Information Search,http://videolectures.net/estc08_wennerberg_stami,2105
2007-08-14,Correlation Search in Graph Databases ,http://videolectures.net/kdd07_ke_csgd,2092
2008-09-26,Microscopic Evolution of Social Networks,http://videolectures.net/kdd08_leskovec_mesn,2069
2008-09-26,Graph Mining and Graph Kernels,http://videolectures.net/kdd08_borgwardt_gmgk,2049
2008-09-26,"Blogosphere: Research Issues, Applications, and Tools",http://videolectures.net/kdd08_liu_briat,2047
2008-02-05,Dimensionality Reduction,http://videolectures.net/epsrcws08_lawrence_dr,2047
2008-12-20,Polyhedral Approximations in Convex Optimization,http://videolectures.net/opt08_bertsekas_paico,2040
2010-01-19,FPGA-based MapReduce Framework for Machine Learning,http://videolectures.net/nipsworkshops09_xu_fpga,2017
2008-07-29,Training Restricted Boltzmann Machines using Approximations to the Likelihood Gradient,http://videolectures.net/icml08_tieleman_trb,2006
2012-08-22,Approximate Bayesian computation (ABC): advances and questions,http://videolectures.net/isba2012_robert_bayesian_computation,2005
2009-04-01,Artificial Intelligence Planning,http://videolectures.net/ssll09_rintanen_aip,1996
2012-10-09,Detection and Tracking of Occluded People,http://videolectures.net/bmvc2012_tang_occluded_people,1989
2007-02-25,Kernel Methods in Computational Biology,http://videolectures.net/mlss06tw_vert_kmcb,1986
2007-02-25,Information Retrieval and Text Mining,http://videolectures.net/mlss06au_hofmann_irtm,1963
2008-11-24,Requirements Analysis Tool: A Tool for Automatically Analyzing Software Requirements Documents,http://videolectures.net/iswc08_verma_rattfaasrd,1962
2008-08-12,MDL Tutorial,http://videolectures.net/icml08_grunwald_mld,1959
2007-11-26,Data stream management and mining ,http://videolectures.net/mmdss07_hebrail_dsmm,1951
2012-10-29,Machine Learning for Robotics,http://videolectures.net/ecmlpkdd2012_abbeel_learning_robotics,1936
2007-03-20,Modeling real-world networks using Kronecker multiplication,http://videolectures.net/solomon_leskovec_mrw,1933
2012-08-22,"Slowly but surely, Bayesian ideas revolutionize medical research",http://videolectures.net/isba2012_berry_bayesian_ideas,1921
2007-02-25,Distributed Data Mining,http://videolectures.net/acai05_fatta_ddm,1910
2007-02-25,Brain Computer Interfaces,http://videolectures.net/mlss06au_muller_bci,1898
2009-04-01,Knowledge Representation and Reasoning,http://videolectures.net/ssll09_pagnucco_krr,1887
2008-08-08,Semantic Wikis - Semantic MediaWiki,http://videolectures.net/eswc08_vrandecic_sw,1883
2010-09-13,Classification on Riemannian Manifolds,http://videolectures.net/ssspr2010_porikli_crm,1875
2011-08-18,4chan and /b/: An Analysis of Anonymity and Ephemerality in a Large Online Community,http://videolectures.net/icwsm2011_bernstein_ephemerality,1875
2007-08-19,Statistical Aspects of Data Mining (Stats 202),http://videolectures.net/google_mease_sadm,1874
2009-08-10,Machine Learning and Signal Processing Tools for BCI,http://videolectures.net/bbci09_blankertz_muller_mlasp,1872
2009-12-01,What can the world tell us about an image?,http://videolectures.net/bmvc09_efros_wcw,1867
2011-02-01,Visual Crowd Surveillance is Like Hydrodynamics,http://videolectures.net/acmmm2010_shah_vcs,1865
2009-07-22,Intelligent Tutoring Systems: New Challenges and Directions,http://videolectures.net/ijcai09_conati_its,1862
2012-01-25,Relations Betweeen Machine Learning Problems,http://videolectures.net/nipsworkshops2011_williamson_machine,1861
2007-02-25,"Active, Semi-Supervised Learning for Textual Information Access",http://videolectures.net/iiia06_krithara_asslt,1848
2007-10-24,Cost-effective Outbreak Detection in Networks,http://videolectures.net/solomon_leskovec_ceod,1846
2010-08-09,Helping doctors and patients make sense of health statistics: towards an evidence-based society,http://videolectures.net/icots2010_gigerenezer_hdap,1840
2013-08-26,Deep Support Vector Machines,http://videolectures.net/roks2013_wiering_vector,1839
2007-02-25,Tutorial on Machine Learning Reductions,http://videolectures.net/mlss05us_langford_mlr,1838
2013-09-27,A Data Scientist���s Guide to Making Money from Start-ups,http://videolectures.net/kdd2013_panel_start_ups,1821
2014-10-07,Scaling Up Deep Learning,http://videolectures.net/kdd2014_bengio_deep_learning,1813
2009-08-21,Modeling the S&P 500 Index using the Kalman Filter and the LagLasso,http://videolectures.net/amlcf09_mahler_mtsp,1793
2013-01-28,Big Data Clustering,http://videolectures.net/single_jain_bigdata,1790
2008-07-21,Speech production models for automatic speech recognition,http://videolectures.net/aerfaiss08_rose_spm,1782
2010-01-19,Graphical Causal Models for Time Series Econometrics: Some Recent Developments and Applications,http://videolectures.net/nips09_moneta_gcmtsesrda,1748
2007-12-03,Detecting Money Laundering Actions Using Data Mining and Expert Systems,http://videolectures.net/mmdss07_duman_dml,1747
2007-04-04,Parameter Estimation of ODE's with Regression Splines: Application to Biological Networks,http://videolectures.net/pesb07_brunel_peo,1738
2007-03-15,Spatial Data Mining Querie language in a GIS System,http://videolectures.net/solomon_appice_sdm,1736
2008-08-05,Estimating Local Optimums in EM Algorithm over Gaussian Mixture Model,http://videolectures.net/icml08_zhang_elo,1720
2009-05-18,Lecture 3 - The Concept of Underfitting and Overfitting ,http://videolectures.net/stanfordcs229f08_ng_lec03,1717
2012-09-18,"Focusing Human Attention on the ""Right"" Visual Data",http://videolectures.net/icme2012_grauman_visual_data,1716
2013-01-25,Kernel Methods,http://videolectures.net/mlss2012_scholkopf_kernel,1714
2007-02-25,Interpreting Covariance Functions & Classification,http://videolectures.net/gpip06_rasmussen_icfc,1711
2009-07-20,Identification of Eigenmodes in Vibration Data,http://videolectures.net/mla09_preisach_ioeivd,1709
2013-01-07,"Omre���ja, Stanford in Silicijeva dolina",http://videolectures.net/single_leskovec_silicijeva_dolina,1698
2010-10-01,"Fast Euclidean Minimum Spanning Tree: Algorithm, Analysis, and Applications",http://videolectures.net/kdd2010_march_fem,1686
2008-12-20,Machine Learning Py (mlpy),http://videolectures.net/mloss08_albanese_mlp,1678
2011-07-07,Dealing with structured and unstructured data at Facebook,http://videolectures.net/eswc2011_backstrom_facebook,1675
2009-08-21,Machine Learning Based Prediction in Financial Markets,http://videolectures.net/amlcf09_dhar_mlbp,1668
2014-04-03,Deep Learning for Machine Vision,http://videolectures.net/bmvc2013_coates_machine_vision,1653
2008-02-25,A Holistic Lexicon-Based Approach to Opinion Mining,http://videolectures.net/wsdm08_liu_hlbaom,1647
2009-05-18,Lecture 2 - An Application of Supervised Learning - Autonomous Deriving ,http://videolectures.net/stanfordcs229f08_ng_lec02,1647
2008-07-24,10 Year Best Paper: Combining Labeled and Unlabeled Data with Co-Training,http://videolectures.net/icml08_shavlik_clud,1639
2009-11-02, 	 Machine Learning and Cognitive Science ,http://videolectures.net/mlss09uk_tenenbaum_mlcs,1632
2007-07-11,A general purpose segmentation algorithm using analytically evaluated random walks,http://videolectures.net/gbr07_grady_gpsa,1630
2009-12-01,Real-time texture boundary detection from ridges in the standard deviation space,http://videolectures.net/bmvc09_hidayat_rttbd,1630
2007-02-25,Comparison of information retrieval techniques: Latent semantic indexing (LSI) and Concept indexing (CI),http://videolectures.net/solomon_dobsa_lsici,1626
2008-11-24,Realizing a Semantic Web Application,http://videolectures.net/iswc08_dellaValle_rswa,1625
2008-02-25,Identifying the Influential Bloggers,http://videolectures.net/wsdm08_agarwal_iib,1623
2008-03-11,Foundations of Machine Learning,http://videolectures.net/mlss08au_hutter_fund,1619
2012-11-16,ORANGE: Data Mining Fruitful and Fun,http://videolectures.net/is2012_demsar_orange,1602
2008-11-24,Lecture 29: Applications in signal and image processing: compression,http://videolectures.net/mit18085f07_strang_lec29,1597
2013-09-27,Scale-out Beyond MapReduce,http://videolectures.net/kdd2013_ramakrishnan_map_reduce,1589
2007-07-12,Graph Based Shapes Representation and Recognition,http://videolectures.net/gbr07_qureshi_gbsr,1585
2007-02-25,Empirical Inference,http://videolectures.net/mlss03_vapnik_ei,1582
2008-12-05,Detection of Symmetries and Repeated Patterns in 3D Point Cloud Data,http://videolectures.net/etvc08_guibas_dosarp,1582
2009-09-17,Structured Prediction for Natural Language Processing,http://videolectures.net/icml09_smith_spn,1578
2008-12-20,Probabilistic Models for Data Combination in Recommender Systems,http://videolectures.net/lms08_williamson_pmdc,1574
2007-11-15,How I was right even when I was wrong,http://videolectures.net/iswc07_welty_hiwr,1572
2008-01-28,Putting Things in Order: On the Fundamental Role of Ranking in Classification and Probability Estimation,http://videolectures.net/ecml07_flach_pto,1564
2009-04-01,Group Theory in Machine Learning,http://videolectures.net/ssll09_barbosa_gtiml,1561
2007-02-25,Automated Text Summarization using MEAD: Experience with the IMF Staff Reports,http://videolectures.net/iiia06_liu_eisr,1560
2007-09-14,SCAN: A Structural Clustering Algorithm for Networks,http://videolectures.net/kdd07_xu_scan,1557
2009-11-02,Information Retrieval,http://videolectures.net/mlss09uk_hofmann_ir,1552
2011-12-23,CEP - Complex Event Processing,http://videolectures.net/coinplanetdataschool2011_stuehmer_cep,1547
2007-07-12,Approximating TSP Solution by MST based Graph Pyramid ,http://videolectures.net/gbr07_haxhimusa_ats,1541
2008-09-26,"Mining Uncertain and Probabilistic Data: problems, Challenges, Methods, and Applications",http://videolectures.net/kdd08_pei_mupd,1536
2007-02-25,Bioinformatics,http://videolectures.net/mlss03_baldi_b,1529
2010-08-13,What is cognitive science?,http://videolectures.net/mlss2010_tenenbaum_csfml,1528
2007-02-25,Trees for Regression and Classification,http://videolectures.net/mlss05us_nowak_trc,1525
2010-07-19,Monocular 3D Pose Estimation and Tracking by Detection,http://videolectures.net/cvpr2010_andriluka_m3de,1522
2007-08-13,From Mining the Web to Inventing the New Sciences Underlying the Internet ,http://videolectures.net/kdd07_fayyad_fmtw,1519
2008-05-23,Subjectivity and Sentiment Analysis,http://videolectures.net/icwsm08_wiebe_ssa,1519
2008-06-02,6. BigDog,http://videolectures.net/aaai08_raibert_bigdog,1518
2011-08-23,Open Information Extraction at Web Scale,http://videolectures.net/ijcai2011_etzioni_webscale,1514
2008-02-25,Finding High-Quality Content in Social Media,http://videolectures.net/wsdm08_castillo_fhqc,1514
2007-10-24,Explanation of SVM's behaviour in text classification,http://videolectures.net/solomon_colas_esvm,1513
2008-05-23,Finding Influencers and Consumer Insights in the Blogosphere,http://videolectures.net/icwsm08_yamamoto_ficib,1513
2007-02-25,Teaching Machine Learning from Examples,http://videolectures.net/learning06_guyon_tmle,1507
2012-04-11,Twitter Sentiment in Financial Domain,http://videolectures.net/firstworkshop2012_grcar_twitter,1499
